2025-11-18 10:08:38,767 | film_recommender_cg.scorer | INFO | 'Foreign' rmse = 0.546
2025-11-18 10:08:38,770 | film_recommender_cg.scorer | INFO | 'Foreign' r-squared = 0.281
2025-11-18 10:08:38,799 | film_recommender_cg.scorer | INFO | 'Mystery' rmse = 0.53
2025-11-18 10:08:38,804 | film_recommender_cg.scorer | INFO | 'Mystery' r-squared = 0.312
2025-11-18 10:08:38,825 | film_recommender_cg.scorer | INFO | 'Music' rmse = 0.529
2025-11-18 10:08:38,830 | film_recommender_cg.scorer | INFO | 'Music' r-squared = 0.356
2025-11-18 10:08:38,870 | film_recommender_cg.scorer | INFO | 'History' rmse = 0.525
2025-11-18 10:08:38,885 | film_recommender_cg.scorer | INFO | 'History' r-squared = 0.272
2025-11-18 10:08:38,908 | film_recommender_cg.scorer | INFO | 'Undisclosed' rmse = Insufficient Data
2025-11-18 10:08:38,919 | film_recommender_cg.scorer | INFO | 'Undisclosed' r-squared = Insufficient Data
2025-11-18 10:08:38,951 | film_recommender_cg.scorer | INFO | 'Fantasy' rmse = 0.541
2025-11-18 10:08:38,955 | film_recommender_cg.scorer | INFO | 'Fantasy' r-squared = 0.285
2025-11-18 10:08:39,002 | film_recommender_cg.scorer | INFO | 'Documentary' rmse = 0.52
2025-11-18 10:08:39,007 | film_recommender_cg.scorer | INFO | 'Documentary' r-squared = 0.312
2025-11-18 10:08:39,029 | film_recommender_cg.scorer | INFO | 'Animation' rmse = Insufficient Data
2025-11-18 10:08:39,035 | film_recommender_cg.scorer | INFO | 'Animation' r-squared = Insufficient Data
2025-11-18 10:08:39,072 | film_recommender_cg.scorer | INFO | 'Western' rmse = 0.527
2025-11-18 10:08:39,076 | film_recommender_cg.scorer | INFO | 'Western' r-squared = 0.255
2025-11-18 10:08:39,098 | film_recommender_cg.scorer | INFO | 'Adventure' rmse = 0.548
2025-11-18 10:08:39,114 | film_recommender_cg.scorer | INFO | 'Adventure' r-squared = 0.299
2025-11-18 10:08:39,132 | film_recommender_cg.scorer | INFO | 'Comedy' rmse = 0.534
2025-11-18 10:08:39,137 | film_recommender_cg.scorer | INFO | 'Comedy' r-squared = 0.288
2025-11-18 10:08:39,156 | film_recommender_cg.scorer | INFO | 'Horror' rmse = 0.529
2025-11-18 10:08:39,160 | film_recommender_cg.scorer | INFO | 'Horror' r-squared = 0.295
2025-11-18 10:08:39,177 | film_recommender_cg.scorer | INFO | 'Thriller' rmse = 0.56
2025-11-18 10:08:39,180 | film_recommender_cg.scorer | INFO | 'Thriller' r-squared = 0.26
2025-11-18 10:08:39,191 | film_recommender_cg.scorer | INFO | 'TV Movie' rmse = Insufficient Data
2025-11-18 10:08:39,198 | film_recommender_cg.scorer | INFO | 'TV Movie' r-squared = Insufficient Data
2025-11-18 10:08:39,220 | film_recommender_cg.scorer | INFO | 'Romance' rmse = 0.537
2025-11-18 10:08:39,222 | film_recommender_cg.scorer | INFO | 'Romance' r-squared = 0.288
2025-11-18 10:08:39,237 | film_recommender_cg.scorer | INFO | 'Science Fiction' rmse = 0.566
2025-11-18 10:08:39,239 | film_recommender_cg.scorer | INFO | 'Science Fiction' r-squared = 0.218
2025-11-18 10:08:39,262 | film_recommender_cg.scorer | INFO | 'Action' rmse = 0.653
2025-11-18 10:08:39,264 | film_recommender_cg.scorer | INFO | 'Action' r-squared = -0.097
2025-11-18 10:08:40,568 | film_recommender_cg.scorer | INFO | 'scoring_performance_metrics_existing_users' successfully logged as artifact in W&B.
2025-11-18 10:08:40,571 | film_recommender_cg.scorer | INFO | Evaluation complete!
