2025-11-14 09:55:20,717 | film_recommender_cg.scorer | INFO | ### Following recent batch of simulated interactions, current model performance metrics ('All' users): ###
2025-11-14 09:55:20,719 | film_recommender_cg.scorer | INFO | Overall rmse = 0.545
2025-11-14 09:55:20,723 | film_recommender_cg.scorer | INFO | Overall r-squared = 0.269
2025-11-14 09:55:20,729 | film_recommender_cg.scorer | INFO | ### Following recent batch of simulated interactions, current model performance metrics ('All' users): ###
2025-11-14 09:55:20,747 | film_recommender_cg.scorer | INFO | 'Western' rmse = 0.549
2025-11-14 09:55:20,750 | film_recommender_cg.scorer | INFO | 'Western' r-squared = 0.29
2025-11-14 09:55:20,770 | film_recommender_cg.scorer | INFO | 'Science Fiction' rmse = 0.619
2025-11-14 09:55:20,773 | film_recommender_cg.scorer | INFO | 'Science Fiction' r-squared = 0.001
2025-11-14 09:55:20,783 | film_recommender_cg.scorer | INFO | 'Mystery' rmse = 0.523
2025-11-14 09:55:20,797 | film_recommender_cg.scorer | INFO | 'Mystery' r-squared = 0.295
2025-11-14 09:55:20,815 | film_recommender_cg.scorer | INFO | 'Family' rmse = 0.543
2025-11-14 09:55:20,818 | film_recommender_cg.scorer | INFO | 'Family' r-squared = 0.218
2025-11-14 09:55:20,835 | film_recommender_cg.scorer | INFO | 'Crime' rmse = 0.557
2025-11-14 09:55:20,838 | film_recommender_cg.scorer | INFO | 'Crime' r-squared = 0.264
2025-11-14 09:55:20,854 | film_recommender_cg.scorer | INFO | 'Foreign' rmse = 0.508
2025-11-14 09:55:20,856 | film_recommender_cg.scorer | INFO | 'Foreign' r-squared = 0.265
2025-11-14 09:55:20,877 | film_recommender_cg.scorer | INFO | 'Drama' rmse = 0.54
2025-11-14 09:55:20,882 | film_recommender_cg.scorer | INFO | 'Drama' r-squared = 0.286
2025-11-14 09:55:20,905 | film_recommender_cg.scorer | INFO | 'Horror' rmse = 0.513
2025-11-14 09:55:20,907 | film_recommender_cg.scorer | INFO | 'Horror' r-squared = 0.317
2025-11-14 09:55:20,924 | film_recommender_cg.scorer | INFO | 'History' rmse = 0.545
2025-11-14 09:55:20,925 | film_recommender_cg.scorer | INFO | 'History' r-squared = 0.242
2025-11-14 09:55:20,940 | film_recommender_cg.scorer | INFO | 'Undisclosed' rmse = Insufficient Data
2025-11-14 09:55:20,941 | film_recommender_cg.scorer | INFO | 'Undisclosed' r-squared = Insufficient Data
2025-11-14 09:55:20,955 | film_recommender_cg.scorer | INFO | 'Animation' rmse = 0.527
2025-11-14 09:55:20,957 | film_recommender_cg.scorer | INFO | 'Animation' r-squared = 0.128
2025-11-14 09:55:20,978 | film_recommender_cg.scorer | INFO | 'Adventure' rmse = 0.621
