2025-11-14 11:43:51,126 | film_recommender_cg.scorer | INFO | 'scoring_avg_personalization_score_new_users' successfully logged as artifact in W&B.
2025-11-14 11:43:51,482 | film_recommender_cg.scorer | INFO | ### Average personalization score ('Existing'): 0.678 ###
2025-11-14 11:43:51,971 | film_recommender_cg.scorer | INFO | R² for Personalization vs. Films Rated: 0.265
2025-11-14 11:43:51,974 | film_recommender_cg.scorer | INFO | Pearson correlation for Personalization vs. Films Rated: 0.515
2025-11-14 11:43:53,075 | film_recommender_cg.scorer | INFO | 'scoring_avg_personalization_score_existing_users' successfully logged as artifact in W&B.
2025-11-14 11:43:53,161 | film_recommender_cg.scorer | INFO | Evaluating model performance on new (simulated) data...
2025-11-14 11:43:53,174 | film_recommender_cg.scorer | INFO | ### Following recent batch of simulated interactions, current model performance metrics ('All' users): ###
2025-11-14 11:43:53,185 | film_recommender_cg.scorer | INFO | Overall rmse = 0.545
2025-11-14 11:43:53,194 | film_recommender_cg.scorer | INFO | Overall r-squared = 0.269
2025-11-14 11:43:53,208 | film_recommender_cg.scorer | INFO | ### Following recent batch of simulated interactions, current model performance metrics ('All' users): ###
2025-11-14 11:43:53,228 | film_recommender_cg.scorer | INFO | 'Animation' rmse = 0.527
2025-11-14 11:43:53,237 | film_recommender_cg.scorer | INFO | 'Animation' r-squared = 0.128
2025-11-14 11:43:53,269 | film_recommender_cg.scorer | INFO | 'Action' rmse = 0.672
2025-11-14 11:43:53,284 | film_recommender_cg.scorer | INFO | 'Action' r-squared = -0.216
2025-11-14 11:43:53,309 | film_recommender_cg.scorer | INFO | 'Western' rmse = 0.549
2025-11-14 11:43:53,313 | film_recommender_cg.scorer | INFO | 'Western' r-squared = 0.29
2025-11-14 11:43:53,343 | film_recommender_cg.scorer | INFO | 'Family' rmse = 0.543
2025-11-14 11:43:53,346 | film_recommender_cg.scorer | INFO | 'Family' r-squared = 0.218
2025-11-14 11:43:53,384 | film_recommender_cg.scorer | INFO | 'Documentary' rmse = 0.534
2025-11-14 11:43:53,389 | film_recommender_cg.scorer | INFO | 'Documentary' r-squared = 0.294
2025-11-14 11:43:53,436 | film_recommender_cg.scorer | INFO | 'Music' rmse = 0.524
2025-11-14 11:43:53,440 | film_recommender_cg.scorer | INFO | 'Music' r-squared = 0.299
2025-11-14 11:43:53,464 | film_recommender_cg.scorer | INFO | 'Science Fiction' rmse = 0.619
2025-11-14 11:43:53,466 | film_recommender_cg.scorer | INFO | 'Science Fiction' r-squared = 0.001
2025-11-14 11:43:53,489 | film_recommender_cg.scorer | INFO | 'War' rmse = 0.544
2025-11-14 11:43:53,497 | film_recommender_cg.scorer | INFO | 'War' r-squared = 0.265
2025-11-14 11:43:53,519 | film_recommender_cg.scorer | INFO | 'Romance' rmse = 0.522
2025-11-14 11:43:53,525 | film_recommender_cg.scorer | INFO | 'Romance' r-squared = 0.302
2025-11-14 11:43:53,552 | film_recommender_cg.scorer | INFO | 'Undisclosed' rmse = Insufficient Data
2025-11-14 11:43:53,556 | film_recommender_cg.scorer | INFO | 'Undisclosed' r-squared = Insufficient Data
2025-11-14 11:43:53,591 | film_recommender_cg.scorer | INFO | 'Drama' rmse = 0.54
2025-11-14 11:43:53,600 | film_recommender_cg.scorer | INFO | 'Drama' r-squared = 0.286
2025-11-14 11:43:53,629 | film_recommender_cg.scorer | INFO | 'Adventure' rmse = 0.621
2025-11-14 11:43:53,637 | film_recommender_cg.scorer | INFO | 'Adventure' r-squared = -0.003
2025-11-14 11:43:53,667 | film_recommender_cg.scorer | INFO | 'Mystery' rmse = 0.523
2025-11-14 11:43:53,670 | film_recommender_cg.scorer | INFO | 'Mystery' r-squared = 0.295
2025-11-14 11:43:53,694 | film_recommender_cg.scorer | INFO | 'History' rmse = 0.545
2025-11-14 11:43:53,698 | film_recommender_cg.scorer | INFO | 'History' r-squared = 0.242
2025-11-14 11:43:53,716 | film_recommender_cg.scorer | INFO | 'TV Movie' rmse = Insufficient Data
2025-11-14 11:43:53,722 | film_recommender_cg.scorer | INFO | 'TV Movie' r-squared = Insufficient Data
2025-11-14 11:43:53,745 | film_recommender_cg.scorer | INFO | 'Comedy' rmse = 0.534
2025-11-14 11:43:53,752 | film_recommender_cg.scorer | INFO | 'Comedy' r-squared = 0.285
2025-11-14 11:43:53,772 | film_recommender_cg.scorer | INFO | 'Foreign' rmse = 0.508
2025-11-14 11:43:53,776 | film_recommender_cg.scorer | INFO | 'Foreign' r-squared = 0.265
2025-11-14 11:43:53,794 | film_recommender_cg.scorer | INFO | 'Fantasy' rmse = 0.542
2025-11-14 11:43:53,797 | film_recommender_cg.scorer | INFO | 'Fantasy' r-squared = 0.262
2025-11-14 11:43:53,810 | film_recommender_cg.scorer | INFO | 'Horror' rmse = 0.513
2025-11-14 11:43:53,814 | film_recommender_cg.scorer | INFO | 'Horror' r-squared = 0.317
2025-11-14 11:43:53,832 | film_recommender_cg.scorer | INFO | 'Crime' rmse = 0.557
2025-11-14 11:43:53,836 | film_recommender_cg.scorer | INFO | 'Crime' r-squared = 0.264
2025-11-14 11:43:53,849 | film_recommender_cg.scorer | INFO | 'Thriller' rmse = 0.569
2025-11-14 11:43:53,853 | film_recommender_cg.scorer | INFO | 'Thriller' r-squared = 0.238
2025-11-14 11:43:55,057 | film_recommender_cg.scorer | INFO | 'scoring_performance_metrics_all_users' successfully logged as artifact in W&B.
2025-11-14 11:43:55,063 | film_recommender_cg.scorer | INFO | Evaluation complete!
2025-11-14 11:43:55,067 | film_recommender_cg.scorer | INFO | Evaluating model performance on new (simulated) data...
2025-11-14 11:43:55,082 | film_recommender_cg.scorer | INFO | ### Following recent batch of simulated interactions, current model performance metrics ('New' users): ###
2025-11-14 11:43:55,087 | film_recommender_cg.scorer | INFO | Overall rmse = 0.572
2025-11-14 11:43:55,090 | film_recommender_cg.scorer | INFO | Overall r-squared = 0.073
2025-11-14 11:43:55,100 | film_recommender_cg.scorer | INFO | ### Following recent batch of simulated interactions, current model performance metrics ('New' users): ###
2025-11-14 11:43:55,111 | film_recommender_cg.scorer | INFO | 'Animation' rmse = 0.529
2025-11-14 11:43:55,117 | film_recommender_cg.scorer | INFO | 'Animation' r-squared = -0.035
2025-11-14 11:43:55,126 | film_recommender_cg.scorer | INFO | 'Action' rmse = 0.669
2025-11-14 11:43:55,130 | film_recommender_cg.scorer | INFO | 'Action' r-squared = -0.402
2025-11-14 11:43:55,223 | film_recommender_cg.scorer | INFO | 'Western' rmse = Insufficient Data
2025-11-14 11:43:55,226 | film_recommender_cg.scorer | INFO | 'Western' r-squared = Insufficient Data
2025-11-14 11:43:55,244 | film_recommender_cg.scorer | INFO | 'Family' rmse = 0.559
2025-11-14 11:43:55,247 | film_recommender_cg.scorer | INFO | 'Family' r-squared = -0.022
2025-11-14 11:43:55,252 | film_recommender_cg.scorer | INFO | 'Documentary' rmse = Insufficient Data
2025-11-14 11:43:55,255 | film_recommender_cg.scorer | INFO | 'Documentary' r-squared = Insufficient Data
2025-11-14 11:43:55,287 | film_recommender_cg.scorer | INFO | 'Music' rmse = Insufficient Data
2025-11-14 11:43:55,290 | film_recommender_cg.scorer | INFO | 'Music' r-squared = Insufficient Data
2025-11-14 11:43:55,302 | film_recommender_cg.scorer | INFO | 'Science Fiction' rmse = 0.661
2025-11-14 11:43:55,307 | film_recommender_cg.scorer | INFO | 'Science Fiction' r-squared = -0.342
2025-11-14 11:43:55,315 | film_recommender_cg.scorer | INFO | 'War' rmse = 0.527
2025-11-14 11:43:55,319 | film_recommender_cg.scorer | INFO | 'War' r-squared = 0.081
2025-11-14 11:43:55,329 | film_recommender_cg.scorer | INFO | 'Romance' rmse = 0.515
2025-11-14 11:43:55,332 | film_recommender_cg.scorer | INFO | 'Romance' r-squared = -0.049
2025-11-14 11:43:55,338 | film_recommender_cg.scorer | INFO | 'Undisclosed' rmse = Insufficient Data
2025-11-14 11:43:55,342 | film_recommender_cg.scorer | INFO | 'Undisclosed' r-squared = Insufficient Data
2025-11-14 11:43:55,355 | film_recommender_cg.scorer | INFO | 'Drama' rmse = 0.518
2025-11-14 11:43:55,359 | film_recommender_cg.scorer | INFO | 'Drama' r-squared = 0.104
2025-11-14 11:43:55,381 | film_recommender_cg.scorer | INFO | 'Adventure' rmse = 0.639
2025-11-14 11:43:55,385 | film_recommender_cg.scorer | INFO | 'Adventure' r-squared = -0.285
2025-11-14 11:43:55,394 | film_recommender_cg.scorer | INFO | 'Mystery' rmse = 0.569
2025-11-14 11:43:55,400 | film_recommender_cg.scorer | INFO | 'Mystery' r-squared = 0.045
2025-11-14 11:43:55,409 | film_recommender_cg.scorer | INFO | 'History' rmse = 0.525
2025-11-14 11:43:55,415 | film_recommender_cg.scorer | INFO | 'History' r-squared = 0.077
2025-11-14 11:43:55,425 | film_recommender_cg.scorer | INFO | 'TV Movie' rmse = Insufficient Data
2025-11-14 11:43:55,430 | film_recommender_cg.scorer | INFO | 'TV Movie' r-squared = Insufficient Data
2025-11-14 11:43:55,440 | film_recommender_cg.scorer | INFO | 'Comedy' rmse = 0.549
2025-11-14 11:43:55,446 | film_recommender_cg.scorer | INFO | 'Comedy' r-squared = 0.03
2025-11-14 11:43:55,453 | film_recommender_cg.scorer | INFO | 'Foreign' rmse = Insufficient Data
2025-11-14 11:43:55,456 | film_recommender_cg.scorer | INFO | 'Foreign' r-squared = Insufficient Data
2025-11-14 11:43:55,465 | film_recommender_cg.scorer | INFO | 'Fantasy' rmse = 0.58
2025-11-14 11:43:55,469 | film_recommender_cg.scorer | INFO | 'Fantasy' r-squared = 0.031
2025-11-14 11:43:55,476 | film_recommender_cg.scorer | INFO | 'Horror' rmse = Insufficient Data
2025-11-14 11:43:55,479 | film_recommender_cg.scorer | INFO | 'Horror' r-squared = Insufficient Data
2025-11-14 11:43:55,496 | film_recommender_cg.scorer | INFO | 'Crime' rmse = 0.492
2025-11-14 11:43:55,504 | film_recommender_cg.scorer | INFO | 'Crime' r-squared = 0.107
2025-11-14 11:43:55,515 | film_recommender_cg.scorer | INFO | 'Thriller' rmse = 0.571
2025-11-14 11:43:55,519 | film_recommender_cg.scorer | INFO | 'Thriller' r-squared = 0.136
2025-11-14 11:43:56,633 | film_recommender_cg.scorer | INFO | 'scoring_performance_metrics_new_users' successfully logged as artifact in W&B.
2025-11-14 11:43:56,637 | film_recommender_cg.scorer | INFO | Evaluation complete!
2025-11-14 11:43:56,640 | film_recommender_cg.scorer | INFO | Evaluating model performance on new (simulated) data...
2025-11-14 11:43:56,649 | film_recommender_cg.scorer | INFO | ### Following recent batch of simulated interactions, current model performance metrics ('Existing' users): ###
2025-11-14 11:43:56,653 | film_recommender_cg.scorer | INFO | Overall rmse = 0.541
2025-11-14 11:43:56,655 | film_recommender_cg.scorer | INFO | Overall r-squared = 0.292
2025-11-14 11:43:56,662 | film_recommender_cg.scorer | INFO | ### Following recent batch of simulated interactions, current model performance metrics ('Existing' users): ###
2025-11-14 11:43:56,675 | film_recommender_cg.scorer | INFO | 'Animation' rmse = 0.524
2025-11-14 11:43:56,679 | film_recommender_cg.scorer | INFO | 'Animation' r-squared = 0.276
2025-11-14 11:43:56,701 | film_recommender_cg.scorer | INFO | 'Action' rmse = 0.673
2025-11-14 11:43:56,705 | film_recommender_cg.scorer | INFO | 'Action' r-squared = -0.146
2025-11-14 11:43:56,721 | film_recommender_cg.scorer | INFO | 'Western' rmse = 0.549
2025-11-14 11:43:56,725 | film_recommender_cg.scorer | INFO | 'Western' r-squared = 0.297
2025-11-14 11:43:56,743 | film_recommender_cg.scorer | INFO | 'Family' rmse = 0.536
2025-11-14 11:43:56,747 | film_recommender_cg.scorer | INFO | 'Family' r-squared = 0.294
2025-11-14 11:43:56,773 | film_recommender_cg.scorer | INFO | 'Documentary' rmse = 0.534
2025-11-14 11:43:56,778 | film_recommender_cg.scorer | INFO | 'Documentary' r-squared = 0.294
2025-11-14 11:43:56,800 | film_recommender_cg.scorer | INFO | 'Music' rmse = 0.526
