2025-11-19 09:29:53,870 | film_recommender_cg.scorer | INFO | Adventure = 29.6
2025-11-19 09:29:53,872 | film_recommender_cg.scorer | INFO | War = 4.9
2025-11-19 09:29:53,874 | film_recommender_cg.scorer | INFO | Thriller = 27.7
2025-11-19 09:29:53,876 | film_recommender_cg.scorer | INFO | Undisclosed = 0.0
2025-11-19 09:29:53,878 | film_recommender_cg.scorer | INFO | Fantasy = 18.0
2025-11-19 09:29:53,881 | film_recommender_cg.scorer | INFO | Family = 13.9
2025-11-19 09:29:55,052 | film_recommender_cg.scorer | INFO | 'scoring_genre_avg_count_in_top_n_recs_new_users' successfully logged as artifact in W&B.
2025-11-19 09:30:00,233 | film_recommender_cg.scorer | INFO | ### Genre average counts in top 100 recommendations (existing users): ###
2025-11-19 09:30:00,235 | film_recommender_cg.scorer | INFO | Action = 9.4
2025-11-19 09:30:00,238 | film_recommender_cg.scorer | INFO | Horror = 4.9
2025-11-19 09:30:00,240 | film_recommender_cg.scorer | INFO | Documentary = 4.5
2025-11-19 09:30:00,242 | film_recommender_cg.scorer | INFO | Comedy = 28.5
2025-11-19 09:30:00,243 | film_recommender_cg.scorer | INFO | Crime = 12.5
2025-11-19 09:30:00,245 | film_recommender_cg.scorer | INFO | Science Fiction = 4.3
2025-11-19 09:30:00,246 | film_recommender_cg.scorer | INFO | History = 6.4
2025-11-19 09:30:00,248 | film_recommender_cg.scorer | INFO | Mystery = 8.9
2025-11-19 09:30:00,251 | film_recommender_cg.scorer | INFO | Drama = 72.5
2025-11-19 09:30:00,254 | film_recommender_cg.scorer | INFO | Music = 4.2
2025-11-19 09:30:00,256 | film_recommender_cg.scorer | INFO | Western = 3.7
2025-11-19 09:30:00,260 | film_recommender_cg.scorer | INFO | Animation = 1.1
2025-11-19 09:30:00,261 | film_recommender_cg.scorer | INFO | TV Movie = 0.0
2025-11-19 09:30:00,263 | film_recommender_cg.scorer | INFO | Foreign = 2.5
2025-11-19 09:30:00,265 | film_recommender_cg.scorer | INFO | Romance = 19.6
2025-11-19 09:30:00,269 | film_recommender_cg.scorer | INFO | Adventure = 6.4
2025-11-19 09:30:00,271 | film_recommender_cg.scorer | INFO | War = 10.3
2025-11-19 09:30:00,273 | film_recommender_cg.scorer | INFO | Thriller = 17.8
2025-11-19 09:30:00,275 | film_recommender_cg.scorer | INFO | Undisclosed = 0.1
2025-11-19 09:30:00,278 | film_recommender_cg.scorer | INFO | Fantasy = 3.7
2025-11-19 09:30:00,281 | film_recommender_cg.scorer | INFO | Family = 2.5
2025-11-19 09:30:01,701 | film_recommender_cg.scorer | INFO | 'scoring_genre_avg_count_in_top_n_recs_existing_users' successfully logged as artifact in W&B.
2025-11-19 09:30:01,727 | film_recommender_cg.scorer | INFO | Evaluating model performance on new (simulated) data...
2025-11-19 09:30:01,745 | film_recommender_cg.scorer | INFO | ### Following recent batch of simulated interactions, current model performance metrics ('All' users): ###
2025-11-19 09:30:01,749 | film_recommender_cg.scorer | INFO | Overall rmse = 0.545
2025-11-19 09:30:01,752 | film_recommender_cg.scorer | INFO | Overall r-squared = 0.269
2025-11-19 09:30:01,761 | film_recommender_cg.scorer | INFO | ### Following recent batch of simulated interactions, current model performance metrics ('All' users): ###
2025-11-19 09:30:01,789 | film_recommender_cg.scorer | INFO | 'Action' rmse = 0.672
2025-11-19 09:30:01,797 | film_recommender_cg.scorer | INFO | 'Action' r-squared = -0.216
2025-11-19 09:30:01,813 | film_recommender_cg.scorer | INFO | 'Horror' rmse = 0.513
2025-11-19 09:30:01,817 | film_recommender_cg.scorer | INFO | 'Horror' r-squared = 0.317
2025-11-19 09:30:01,832 | film_recommender_cg.scorer | INFO | 'Documentary' rmse = 0.534
2025-11-19 09:30:01,835 | film_recommender_cg.scorer | INFO | 'Documentary' r-squared = 0.294
2025-11-19 09:30:01,851 | film_recommender_cg.scorer | INFO | 'Comedy' rmse = 0.534
2025-11-19 09:30:01,854 | film_recommender_cg.scorer | INFO | 'Comedy' r-squared = 0.285
2025-11-19 09:30:01,870 | film_recommender_cg.scorer | INFO | 'Crime' rmse = 0.557
2025-11-19 09:30:01,874 | film_recommender_cg.scorer | INFO | 'Crime' r-squared = 0.264
2025-11-19 09:30:01,889 | film_recommender_cg.scorer | INFO | 'Science Fiction' rmse = 0.619
2025-11-19 09:30:01,895 | film_recommender_cg.scorer | INFO | 'Science Fiction' r-squared = 0.001
2025-11-19 09:30:01,920 | film_recommender_cg.scorer | INFO | 'History' rmse = 0.545
2025-11-19 09:30:01,923 | film_recommender_cg.scorer | INFO | 'History' r-squared = 0.242
