2025-11-18 10:47:28,899 | film_recommender_cg.scorer | INFO | 'Family' rmse = 0.52
2025-11-18 10:47:28,903 | film_recommender_cg.scorer | INFO | 'Family' r-squared = 0.296
2025-11-18 10:47:28,924 | film_recommender_cg.scorer | INFO | 'Comedy' rmse = 0.547
2025-11-18 10:47:28,928 | film_recommender_cg.scorer | INFO | 'Comedy' r-squared = 0.268
2025-11-18 10:47:28,942 | film_recommender_cg.scorer | INFO | 'War' rmse = 0.553
2025-11-18 10:47:28,949 | film_recommender_cg.scorer | INFO | 'War' r-squared = 0.236
2025-11-18 10:47:28,969 | film_recommender_cg.scorer | INFO | 'Science Fiction' rmse = 0.582
2025-11-18 10:47:28,972 | film_recommender_cg.scorer | INFO | 'Science Fiction' r-squared = 0.22
2025-11-18 10:47:28,992 | film_recommender_cg.scorer | INFO | 'Crime' rmse = 0.564
2025-11-18 10:47:28,997 | film_recommender_cg.scorer | INFO | 'Crime' r-squared = 0.263
2025-11-18 10:47:29,021 | film_recommender_cg.scorer | INFO | 'Thriller' rmse = 0.551
2025-11-18 10:47:29,029 | film_recommender_cg.scorer | INFO | 'Thriller' r-squared = 0.274
2025-11-18 10:47:29,054 | film_recommender_cg.scorer | INFO | 'Documentary' rmse = 0.541
2025-11-18 10:47:29,059 | film_recommender_cg.scorer | INFO | 'Documentary' r-squared = 0.307
2025-11-18 10:47:29,085 | film_recommender_cg.scorer | INFO | 'Foreign' rmse = 0.522
2025-11-18 10:47:29,089 | film_recommender_cg.scorer | INFO | 'Foreign' r-squared = 0.327
2025-11-18 10:47:29,104 | film_recommender_cg.scorer | INFO | 'Undisclosed' rmse = Insufficient Data
2025-11-18 10:47:29,109 | film_recommender_cg.scorer | INFO | 'Undisclosed' r-squared = Insufficient Data
2025-11-18 10:47:29,122 | film_recommender_cg.scorer | INFO | 'TV Movie' rmse = Insufficient Data
2025-11-18 10:47:29,128 | film_recommender_cg.scorer | INFO | 'TV Movie' r-squared = Insufficient Data
2025-11-18 10:47:29,147 | film_recommender_cg.scorer | INFO | 'History' rmse = 0.551
2025-11-18 10:47:29,152 | film_recommender_cg.scorer | INFO | 'History' r-squared = 0.257
2025-11-18 10:47:29,168 | film_recommender_cg.scorer | INFO | 'Horror' rmse = 0.543
2025-11-18 10:47:29,171 | film_recommender_cg.scorer | INFO | 'Horror' r-squared = 0.279
2025-11-18 10:47:29,186 | film_recommender_cg.scorer | INFO | 'Romance' rmse = 0.539
2025-11-18 10:47:29,191 | film_recommender_cg.scorer | INFO | 'Romance' r-squared = 0.283
2025-11-18 10:47:29,207 | film_recommender_cg.scorer | INFO | 'Adventure' rmse = 0.616
2025-11-18 10:47:29,211 | film_recommender_cg.scorer | INFO | 'Adventure' r-squared = 0.1
2025-11-18 10:47:29,231 | film_recommender_cg.scorer | INFO | 'Mystery' rmse = 0.545
2025-11-18 10:47:29,238 | film_recommender_cg.scorer | INFO | 'Mystery' r-squared = 0.256
2025-11-18 10:47:29,256 | film_recommender_cg.scorer | INFO | 'Music' rmse = 0.53
2025-11-18 10:47:29,260 | film_recommender_cg.scorer | INFO | 'Music' r-squared = 0.33
2025-11-18 10:47:29,276 | film_recommender_cg.scorer | INFO | 'Animation' rmse = 0.508
2025-11-18 10:47:29,283 | film_recommender_cg.scorer | INFO | 'Animation' r-squared = 0.249
2025-11-18 10:47:30,388 | film_recommender_cg.scorer | INFO | 'scoring_performance_metrics_all_users' successfully logged as artifact in W&B.
2025-11-18 10:47:30,401 | film_recommender_cg.scorer | INFO | Evaluation complete!
2025-11-18 10:47:30,416 | film_recommender_cg.scorer | INFO | Evaluating model performance on new (simulated) data...
2025-11-18 10:47:30,425 | film_recommender_cg.scorer | INFO | ### Following recent batch of simulated interactions, current model performance metrics ('New' users): ###
2025-11-18 10:47:30,439 | film_recommender_cg.scorer | INFO | Overall rmse = 0.566
2025-11-18 10:47:30,441 | film_recommender_cg.scorer | INFO | Overall r-squared = 0.037
2025-11-18 10:47:30,460 | film_recommender_cg.scorer | INFO | ### Following recent batch of simulated interactions, current model performance metrics ('New' users): ###
2025-11-18 10:47:30,474 | film_recommender_cg.scorer | INFO | 'Fantasy' rmse = Insufficient Data
2025-11-18 10:47:30,483 | film_recommender_cg.scorer | INFO | 'Fantasy' r-squared = Insufficient Data
2025-11-18 10:47:30,489 | film_recommender_cg.scorer | INFO | 'Drama' rmse = 0.535
2025-11-18 10:47:30,493 | film_recommender_cg.scorer | INFO | 'Drama' r-squared = 0.06
2025-11-18 10:47:30,504 | film_recommender_cg.scorer | INFO | 'Action' rmse = Insufficient Data
2025-11-18 10:47:30,511 | film_recommender_cg.scorer | INFO | 'Action' r-squared = Insufficient Data
2025-11-18 10:47:30,531 | film_recommender_cg.scorer | INFO | 'Western' rmse = Insufficient Data
2025-11-18 10:47:30,535 | film_recommender_cg.scorer | INFO | 'Western' r-squared = Insufficient Data
2025-11-18 10:47:30,549 | film_recommender_cg.scorer | INFO | 'Family' rmse = Insufficient Data
2025-11-18 10:47:30,554 | film_recommender_cg.scorer | INFO | 'Family' r-squared = Insufficient Data
2025-11-18 10:47:30,568 | film_recommender_cg.scorer | INFO | 'Comedy' rmse = Insufficient Data
2025-11-18 10:47:30,572 | film_recommender_cg.scorer | INFO | 'Comedy' r-squared = Insufficient Data
