2025-11-14 09:51:10,017 | film_recommender_cg.trainer | INFO | 'Thriller' rmse = 0.834
2025-11-14 09:51:10,021 | film_recommender_cg.trainer | INFO | 'Thriller' r-squared = 0.333
2025-11-14 09:51:10,042 | film_recommender_cg.trainer | INFO | 'Comedy' rmse = 0.904
2025-11-14 09:51:10,045 | film_recommender_cg.trainer | INFO | 'Comedy' r-squared = 0.262
2025-11-14 09:51:10,063 | film_recommender_cg.trainer | INFO | 'Music' rmse = 0.946
2025-11-14 09:51:10,069 | film_recommender_cg.trainer | INFO | 'Music' r-squared = 0.194
2025-11-14 09:51:10,092 | film_recommender_cg.trainer | INFO | 'War' rmse = 0.846
2025-11-14 09:51:10,094 | film_recommender_cg.trainer | INFO | 'War' r-squared = 0.357
2025-11-14 09:51:10,112 | film_recommender_cg.trainer | INFO | 'TV Movie' rmse = Insufficient Data
2025-11-14 09:51:10,117 | film_recommender_cg.trainer | INFO | 'TV Movie' r-squared = Insufficient Data
2025-11-14 09:51:10,142 | film_recommender_cg.trainer | INFO | 'Romance' rmse = 0.909
2025-11-14 09:51:10,145 | film_recommender_cg.trainer | INFO | 'Romance' r-squared = 0.24
2025-11-14 09:51:10,161 | film_recommender_cg.trainer | INFO | 'Documentary' rmse = 0.93
2025-11-14 09:51:10,164 | film_recommender_cg.trainer | INFO | 'Documentary' r-squared = -0.016
2025-11-14 09:51:10,191 | film_recommender_cg.trainer | INFO | 'Fantasy' rmse = 0.894
2025-11-14 09:51:10,194 | film_recommender_cg.trainer | INFO | 'Fantasy' r-squared = 0.286
2025-11-14 09:51:11,341 | film_recommender_cg.trainer | INFO | 'training_performance_metrics' successfully logged as artifact in W&B.
2025-11-14 09:51:11,345 | film_recommender_cg.trainer | INFO | Evaluation of SVD model complete!
2025-11-14 09:51:11,348 | film_recommender_cg.trainer | INFO | Logging SVD model in W&B...
